AC_Name,AC_No,O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
KONNI,114,1,Adv. K.U JENISH KUMAR,Communist Party of India  (Marxist),60166,2152,62318,41.62
KONNI,114,2,K. SURENDRAN,Bharatiya Janata Party,31994,817,32811,21.91
KONNI,114,3,ROBIN PETER,Indian National Congress,51859,1951,53810,35.94
KONNI,114,4,RAGHU P,Anna Democratic Human Rights Movement Party of India,212,2,214,0.14
KONNI,114,5,SUKU BALAN,Ambedkarite Party of India,120,2,122,0.08
KONNI,114,6,MANOHARAN,Independent,72,3,75,0.05
KONNI,114,7,NOTA,None of the Above,370,2,372,0.25
ADOOR,115,1,M. G. Kannan,Indian National Congress,61488,2162,63650,40.96
ADOOR,115,2,Chittayam Gopakumar,Communist Party of India,63958,2611,66569,42.83
ADOOR,115,3,Adv. Pandalam Prathapan,Bharatiya Janata Party,23299,681,23980,15.43
ADOOR,115,4,Vipin Kanikonathu,Bahujan Samaj Party,177,1,178,0.11
ADOOR,115,5,Rajankulakkada,Anna Democratic Human Rights Movement Party of India,88,7,95,0.06
ADOOR,115,6,Saranyaraj,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),121,6,127,0.08
ADOOR,115,7,R. Kannan S/o Rajan,Independent,210,8,218,0.14
ADOOR,115,8,NOTA,None of the Above,580,14,594,0.38
KARUNAGAPPALLY,116,1,Bitty Sudheer,Bharatiya Janata Party,11847,297,12144,7.01
KARUNAGAPPALLY,116,2,C. R Mahesh,Indian National Congress,91849,2376,94225,54.38
KARUNAGAPPALLY,116,3,R. Ramachandran,Communist Party of India,62810,2207,65017,37.52
KARUNAGAPPALLY,116,4,Bhargavan S,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),275,8,283,0.16
KARUNAGAPPALLY,116,5,Madhu,Anna Democratic Human Rights Movement Party of India,126,2,128,0.07
KARUNAGAPPALLY,116,6,Adv. Sumayya Najeeb,SOCIAL DEMOCRATIC PARTY OF INDIA,1030,7,1037,0.6
KARUNAGAPPALLY,116,7,NOTA,None of the Above,439,11,450,0.26
CHAVARA,117,1,VIVEK GOPAN,Bharatiya Janata Party,13943,268,14211,9.95
CHAVARA,117,2,SHIBU BABY JOHN,Revolutionary Socialist Party,60103,2083,62186,43.52
CHAVARA,117,3,JOHNSON KANDACHIRA,Independent,1209,14,1223,0.86
CHAVARA,117,4,VIJI RATHEESH,Independent,369,7,376,0.26
CHAVARA,117,5,Dr.SUJITH VIJAYANPILLAI,Independent,61220,2062,63282,44.29
CHAVARA,117,6,SUJITHMON,Independent,895,6,901,0.63
CHAVARA,117,7,NOTA,None of the Above,679,22,701,0.49
KUNNATHUR,118,1,R.S. ANJU,Bahujan Samaj Party,920,26,946,0.59
