AC_Name,AC_No,O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
PARASSALA,137,6,SELVARAJ.J.R,Independent,159,3,162,0.1
PARASSALA,137,7,NOTA,None of the Above,623,7,630,0.39
KATTAKKADA,138,1,P.K KRISHNADAS,Bharatiya Janata Party,33755,787,34542,23.72
KATTAKKADA,138,2,MALAYINKEEZHU VENUGOPAL,Indian National Congress,41723,1339,43062,29.57
KATTAKKADA,138,3,Adv I B SATHEESH,Communist Party of India  (Marxist),64159,2134,66293,45.52
KATTAKKADA,138,4,KANDALA SURESH,Bahujan Samaj Party,623,5,628,0.43
KATTAKKADA,138,5,SREEKALA NADAR,Independent,256,10,266,0.18
KATTAKKADA,138,6,SYRIAC DAMIAN V. P,Independent,126,3,129,0.09
KATTAKKADA,138,7,NOTA,None of the Above,686,13,699,0.48
KOVALAM,139,1,VISHNUPURAM CHANDRASEKHARAN,Bharatiya Janata Party,18267,397,18664,11.73
KOVALAM,139,2,NEELALOHITHADASAN NADAR,Janata Dal  (Secular),61582,1724,63306,39.79
KOVALAM,139,3,Adv. M. VINCENT,Indian National Congress,72676,2192,74868,47.06
KOVALAM,139,4,KANCHAMPAZHINJI SASIKUMAR,Bahujan Samaj Party,635,6,641,0.4
KOVALAM,139,5,AJIL R.A.,Independent,141,6,147,0.09
KOVALAM,139,6,VENGANOOR ASOKAN,Independent,268,16,284,0.18
KOVALAM,139,7,PRINCE V.S.,Independent,402,15,417,0.26
KOVALAM,139,8,NOTA,None of the Above,758,15,773,0.49
NEYYATTINKARA,140,1,K. ANSALAN,Communist Party of India  (Marxist),63345,2152,65497,47.02
NEYYATTINKARA,140,2,PREMAKUMAR. T. R,Bahujan Samaj Party,626,17,643,0.46
NEYYATTINKARA,140,3,CHENKAL. S. RAJASEKHARAN NAIR,Bharatiya Janata Party,20475,534,21009,15.08
NEYYATTINKARA,140,4,SELVARAJ. R,Indian National Congress,49451,1784,51235,36.78
NEYYATTINKARA,140,5,NOTA,None of the Above,892,15,907,0.65
